STATE,YEAR,GenTotal,GenHydro,GenSolar,GenTotalRenewable,GenSolarBinary,GenTotalRenewableBinary,AllSourcesCO2,AllSourcesSO2,AllSourcesNOx,EPriceResidential,EPriceCommercial,EPriceIndustrial,EPriceTransportation,EPriceTotal,EsalesResidential,EsalesCommercial,EsalesIndustrial,EsalesTransportation,EsalesOther,EsalesTotal,CumlFinancial,CumlRegulatory,Total.salary,presidential.results,Import
AK,2000,9.807319179,0.162724751,0,0.162724751,0,1,7.260626876,0.02239593,0.028911283,11.45,9.77,7.56,0,10.08,0.349336814,0.421184489,0.19522276,0,0.034255937,8.458760522,1,1,17.64608569,0,0
AK,2001,10.64461169,0.199542066,0,0.199682937,0,1,7.311766619,0.011925094,0.027725251,12.12,10.29,7.61,0,10.54,0.346798727,0.41968783,0.197911105,0,0.035602338,8.608923222,1,1,18.69197034,0,0
AK,2002,10.54143158,0.212691278,0,0.214335059,0,1,6.93834174,0.0114771,0.029431098,12.05,10.13,7.65,0,10.46,0.353530489,0.409521637,0.199040745,0,0.03790713,8.513567528,1,1,19.64402117,0,0
AK,2003,9.786962825,0.249661289,0,0.250453087,0,0,6.153593414,0.006750341,0.024219087,11.98,10.49,7.86,0,10.5,0.357139211,0.444494851,0.198365938,0,0,8.590290441,1,1,20.39238357,0,0
AK,2004,9.899389509,0.229521213,0,0.230873807,0,0,7.246256285,0.00659179,0.037735191,12.44,10.99,8.33,0,10.99,0.356208119,0.449272728,0.194519152,0,0,8.779675567,1,1,21.44678279,0,0
AK,2005,9.858373531,0.22259661,0,0.223427123,0,0,6.541565609,0.006048441,0.025177106,13.3,11.56,9.29,0,11.72,0.348689597,0.455793427,0.195516976,0,NA,8.862909488,2,1,22.71281629,0,0
AK,2006,9.88298471,0.183333965,0,0.184373341,0,1,6.851122872,0.006217775,0.02668801,14.83,11.93,11.54,0,12.84,0.342956034,0.456013798,0.201030168,0,NA,9.154582555,7,2,24.09209269,0,0
AK,2007,10.03303755,0.18929025,0,0.190933317,0,0,6.387819848,0.006309816,0.025305452,15.18,12.19,12.63,0,13.28,0.334216271,0.447062171,0.218721559,0,NA,9.305302452,7,2,25.69390265,0,0
AK,2008,9.882593373,0.172963795,0,0.173664919,0,1,6.383459853,0.005141992,0.021491338,16.56,13.64,14.17,0,14.74,0.336678763,0.450807342,0.212513895,0,NA,9.227788054,10,2,27.1236133,0,0
AK,2009,9.647697534,0.197510086,0,0.199530032,0,1,6.103952842,0.005340512,0.024262621,17.14,14.46,13.15,0,15.09,0.337693023,0.453151437,0.20915554,0,NA,9.025854698,10,3,27.9228751,0,0
AK,2010,9.535813741,0.212016405,0,0.214814065,0,0,5.819259602,0.004253296,0.022610889,16.26,13.95,14.14,0,14.76,0.335073518,0.452972753,0.211953729,0,NA,8.812770328,12,3,28.67812402,0,0
AK,2011,9.509132654,0.195712348,0,0.198002105,0,1,6.015594294,0.003775402,0.023897964,17.62,15.1,15.71,0,16.08,0.337749583,0.451680027,0.21057039,0,NA,8.745896603,12,4,29.92005231,0,0
AK,2012,9.501572329,0.226742009,0,0.232494325,0,1,5.888213481,0.003698633,0.02326418,17.88,14.93,16.82,0,16.33,0.336667336,0.448075723,0.21525694,0,NA,8.776607517,12,4,31.2077649,0,0
AK,2013,8.812129794,0.220950951,0,0.251322878,1,1,NA,NA,NA,18.12,15.58,15.83,0,16.49,0.335656484,0.450558947,0.213784569,0,NA,8.502048805,13,4,31.79146728,0,0
AL,2000,27.94685473,0.046763515,0,0.046996721,0,1,18.31181668,0.116259766,0.043502894,7.05,6.58,3.87,0,5.61,0.344284748,0.228160143,0.419453052,0,0.008102057,18.76317562,1,0,12.858431,0,0
